               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 148,            0.020813,           0.0075274,            0.011002,             0.58924,             0.61241,             0.60573,             0.31819,            0.020905,           0.0059557,            0.022731,            0.008824,            0.008824,            0.008824
                 149,            0.020704,           0.0072053,            0.010337,             0.61576,             0.57525,             0.63026,             0.35114,             0.01936,           0.0059137,            0.023798,            0.008816,            0.008816,            0.008816
                 150,            0.020239,           0.0074525,            0.010124,             0.65788,             0.58062,             0.62981,              0.3204,            0.020869,           0.0060282,            0.023917,            0.008808,            0.008808,            0.008808
                 151,            0.020823,            0.007604,            0.011106,             0.65358,              0.5931,             0.64461,             0.34654,            0.019462,           0.0059156,            0.020134,              0.0088,              0.0088,              0.0088
                 152,            0.020537,           0.0075931,            0.010316,             0.78677,             0.55352,             0.66535,             0.37489,            0.019152,            0.005898,            0.017619,            0.008792,            0.008792,            0.008792
                 153,            0.020681,           0.0071894,            0.010637,             0.69171,             0.56695,             0.65109,             0.33838,            0.019914,           0.0059738,            0.021164,            0.008784,            0.008784,            0.008784
                 154,             0.02034,           0.0072125,            0.010415,             0.57656,             0.54127,             0.58473,              0.3068,            0.020388,           0.0062976,            0.025757,            0.008776,            0.008776,            0.008776
                 155,            0.020686,            0.007319,            0.010791,             0.59757,             0.63016,             0.62859,             0.32363,            0.019818,           0.0062761,               0.022,            0.008768,            0.008768,            0.008768
                 156,            0.020944,           0.0072737,            0.010224,             0.51531,             0.61369,             0.54527,             0.26659,            0.021776,           0.0061159,            0.028946,             0.00876,             0.00876,             0.00876
                 157,            0.020888,           0.0078095,            0.010343,             0.64966,             0.59436,             0.59766,             0.31106,             0.02064,           0.0061383,            0.022986,            0.008752,            0.008752,            0.008752
                 158,            0.020658,           0.0071189,            0.010309,              0.5288,             0.65296,             0.64951,             0.35112,            0.019097,           0.0061626,              0.0194,            0.008744,            0.008744,            0.008744
